                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     57,                0.61991,                0.55741,                 1.1274,                0.84937,                0.89385,                0.89909,                0.69961,                0.88988,                0.65328,                 1.1657,              0.0004555,              0.0004555,              0.0004555
                     58,                0.57704,                0.52287,                 1.1169,                0.87085,                0.87598,                0.89874,                0.67297,                0.95406,                0.62692,                 1.2384,              0.0004456,              0.0004456,              0.0004456
                     59,                0.56009,                 0.4746,                 1.0999,                0.92442,                0.77619,                0.86844,                0.64624,                0.94759,                0.65175,                 1.2212,              0.0004357,              0.0004357,              0.0004357
                     60,                0.56959,                0.43336,                 1.0842,                0.92515,                0.76777,                0.89598,                0.70723,                0.92472,                0.62115,                  1.189,              0.0004258,              0.0004258,              0.0004258
                     61,                0.59468,                0.50778,                 1.1458,                0.90351,                0.75949,                0.88004,                0.69254,                0.92485,                0.61486,                 1.1929,              0.0004159,              0.0004159,              0.0004159
                     62,                0.54915,                0.47533,                 1.0832,                0.87577,                0.77834,                0.84966,                0.67382,                0.93395,                0.64805,                 1.1931,               0.000406,               0.000406,               0.000406
                     63,                0.56522,                0.45197,                  1.115,                0.92463,                0.75517,                0.85523,                0.68127,                0.91627,                0.66564,                 1.1842,              0.0003961,              0.0003961,              0.0003961
                     64,                0.56535,                0.43431,                  1.087,                0.92575,                0.75548,                0.87406,                0.68289,                 0.9975,                 0.6349,                 1.2463,              0.0003862,              0.0003862,              0.0003862
                     65,                0.54736,                 0.4555,                 1.0903,                0.92124,                0.75133,                0.86882,                0.67425,                 0.9881,                0.65348,                 1.2405,              0.0003763,              0.0003763,              0.0003763
                     66,                   0.55,                0.43767,                 1.0743,                0.90538,                0.76605,                0.84769,                0.66978,                 0.9361,                0.63455,                 1.2048,              0.0003664,              0.0003664,              0.0003664
                     67,                0.58112,                0.47046,                 1.1038,                 0.8408,                0.77888,                0.83579,                 0.6619,                0.97038,                0.63857,                 1.2314,              0.0003565,              0.0003565,              0.0003565
                     68,                0.54391,                0.43994,                 1.0676,                0.91096,                 0.7342,                0.83714,                0.66626,                0.96072,                0.68618,                 1.2078,              0.0003466,              0.0003466,              0.0003466
                     69,                0.55186,                0.45577,                 1.0931,                0.88969,                0.76523,                0.84242,                0.68301,                0.94301,                0.65098,                 1.2183,              0.0003367,              0.0003367,              0.0003367
                     70,                0.54792,                0.44109,                 1.0761,                0.90899,                0.74111,                 0.8393,                0.66871,                0.97974,                0.66652,                 1.2441,              0.0003268,              0.0003268,              0.0003268
                     71,                0.56257,                0.45122,                 1.0797,                0.88225,                0.77408,                 0.8395,                0.67042,                0.96706,                0.69272,                 1.2459,              0.0003169,              0.0003169,              0.0003169
                     72,                0.51534,                0.40871,                 1.0629,                0.87401,                0.77695,                0.84317,                0.67895,                0.94956,                0.65673,                 1.2284,               0.000307,               0.000307,               0.000307
                     73,                0.53638,                0.42476,                 1.0672,                 0.9026,                0.74463,                0.82996,                0.66851,                0.92909,                0.66717,                 1.2174,              0.0002971,              0.0002971,              0.0002971
                     74,                0.51707,                0.40309,                 1.0593,                  0.886,                0.76521,                0.86418,                0.68448,                0.94364,                0.66623,                 1.2215,              0.0002872,              0.0002872,              0.0002872
                     75,                0.56192,                0.45914,                 1.1171,                0.86153,                0.79587,                0.87038,                0.68625,                0.91531,                0.66107,                 1.2035,              0.0002773,              0.0002773,              0.0002773
                     76,                0.52467,                0.41577,                 1.0626,                 0.8835,                0.88976,                0.90601,                0.67282,                0.92586,                0.63721,                 1.2216,              0.0002674,              0.0002674,              0.0002674
                     77,                0.51426,                0.41038,                 1.0535,                0.88825,                0.78078,                0.89406,                0.66187,                0.96254,                0.65865,                 1.2415,              0.0002575,              0.0002575,              0.0002575
                     78,                0.52265,                0.43132,                 1.0668,                0.86652,                0.79144,                0.88632,                0.62472,                0.94767,                0.68471,                 1.2322,              0.0002476,              0.0002476,              0.0002476
                     79,                0.50764,                 0.4052,                  1.075,                0.87454,                0.77778,                0.87639,                0.63589,                0.95989,                0.69205,                 1.2371,              0.0002377,              0.0002377,              0.0002377
                     80,                0.49562,                0.39743,                 1.0606,                0.87995,                0.77703,                0.83457,                0.64066,                0.94427,                0.70147,                 1.2259,              0.0002278,              0.0002278,              0.0002278
                     81,                0.49374,                0.41952,                 1.0483,                  0.905,                 0.7521,                0.85245,                0.69906,                0.89219,                 0.6704,                 1.1747,              0.0002179,              0.0002179,              0.0002179
                     82,                0.53132,                0.48346,                 1.0906,                0.87202,                0.78726,                0.88231,                0.72085,                0.88455,                0.64926,                 1.1646,               0.000208,               0.000208,               0.000208
                     83,                0.48853,                0.39971,                   1.05,                 0.8841,                0.77927,                0.88751,                0.68815,                0.88858,                0.63518,                 1.1687,              0.0001981,              0.0001981,              0.0001981
                     84,                0.48654,                0.39193,                 1.0401,                0.88406,                0.77612,                0.88752,                0.71221,                0.89263,                 0.6394,                 1.1806,              0.0001882,              0.0001882,              0.0001882
                     85,                0.52848,                0.42035,                 1.1382,                0.89148,                 0.8817,                0.90798,                0.70683,                0.88461,                   0.63,                 1.1682,              0.0001783,              0.0001783,              0.0001783
                     86,                0.47687,                0.38843,                 1.0359,                0.88264,                0.87493,                0.90389,                0.72946,                 0.8793,                0.63074,                 1.1744,              0.0001684,              0.0001684,              0.0001684
                     87,                0.48929,                 0.3888,                 1.0634,                0.87716,                0.87512,                0.90598,                0.71718,                0.88368,                0.63527,                  1.177,              0.0001585,              0.0001585,              0.0001585
                     88,                0.45972,                0.38143,                 1.0322,                0.88648,                 0.7788,                0.88293,                 0.7181,                0.89113,                0.63645,                 1.1805,              0.0001486,              0.0001486,              0.0001486
                     89,                0.48421,                0.46359,                  1.036,                0.86005,                0.78245,                0.88548,                0.71951,                0.88005,                0.64602,                 1.1779,              0.0001387,              0.0001387,              0.0001387
                     90,                 0.4649,                0.38819,                 1.0233,                0.88212,                0.77408,                0.88545,                 0.7147,                 0.8747,                0.65151,                 1.1778,              0.0001288,              0.0001288,              0.0001288
                     91,                0.44379,                0.35187,                 1.0579,                0.91152,                0.85553,                 0.8993,                0.72319,                0.90328,                0.62929,                 1.2149,              0.0001189,              0.0001189,              0.0001189
                     92,                0.41593,                0.29237,                  0.975,                0.89058,                 0.8695,                0.90069,                0.73071,                0.90502,                0.62627,                  1.227,               0.000109,               0.000109,               0.000109
                     93,                0.40251,                0.29657,                0.98512,                0.88679,                0.86444,                0.90303,                0.73069,                0.89511,                0.60217,                 1.2362,               9.91e-05,               9.91e-05,               9.91e-05
                     94,                0.42826,                0.28131,                 1.0754,                0.89547,                0.87496,                0.90493,                0.73927,                0.88713,                0.58979,                 1.2309,               8.92e-05,               8.92e-05,               8.92e-05
                     95,                0.37507,                0.26117,                0.96436,                0.84356,                 0.8808,                0.89302,                0.71582,                0.88466,                0.58982,                 1.2264,               7.93e-05,               7.93e-05,               7.93e-05
                     96,                0.37662,                0.24738,                0.97192,                0.88026,                0.78651,                0.86964,                0.69873,                0.88632,                0.59841,                 1.2247,               6.94e-05,               6.94e-05,               6.94e-05
                     97,                0.36824,                0.25733,                0.97774,                0.87397,                 0.7873,                0.87326,                0.70419,                0.87892,                0.60117,                 1.2136,               5.95e-05,               5.95e-05,               5.95e-05
                     98,                0.36005,                0.24423,                0.95944,                0.90011,                0.86996,                0.90368,                  0.725,                0.87834,                0.58392,                 1.2155,               4.96e-05,               4.96e-05,               4.96e-05
                     99,                0.35826,                0.23936,                0.97559,                0.88754,                0.87338,                0.90341,                0.72277,                0.88952,                0.59527,                 1.2201,               3.97e-05,               3.97e-05,               3.97e-05
                    100,                0.41604,                0.26739,                 1.0292,                0.86875,                0.87227,                0.90236,                0.72646,                0.88722,                0.60012,                 1.2156,               2.98e-05,               2.98e-05,               2.98e-05
